Date,Amount,Description,Category
2023-05-02,31087.22,Movie Tickets,Entertainment
2023-06-24,35916.79,Train Ticket,Transport
2023-06-14,2996.26,Gaming Subscription,Entertainment
2023-07-11,2181.43,Monthly Rent Payment,Rent
2023-07-26,41898.57,Water Bill,Utilities
2023-01-20,19245.23,Hotel Booking,Travel
2023-10-04,28531.83,Monthly Rent Payment,Rent
2023-11-24,25369.05,Credit Card EMI,Loans
2023-04-08,20946.63,Grocery Store,Groceries
2023-08-29,37200.58,Monthly Rent Payment,Rent
2023-10-11,17515.0,Fuel,Transport
2023-04-13,27968.51,Uber Ride,Transport
2023-03-28,2977.0,Fast Food,Food
2023-05-24,5283.25,Car Rental,Travel
2023-11-28,18503.0,Flight Ticket,Travel
2023-05-14,22971.33,Train Ticket,Transport
2023-07-02,6514.19,Hotel Booking,Travel
2023-03-03,37081.14,Flight Ticket,Travel
2023-11-20,14174.68,Monthly Rent Payment,Rent
2023-10-27,35883.54,Fast Food,Food
2023-10-25,14718.92,Doctor Visit,Health
2023-11-03,21485.85,Movie Tickets,Entertainment
2023-08-04,19185.99,Supermarket,Groceries
2023-01-04,34985.97,Coffee Shop,Food
2023-07-08,45477.77,Grocery Store,Groceries
2023-09-09,4804.64,Monthly Rent Payment,Rent
2023-02-03,40015.0,Monthly Rent Payment,Rent
2023-03-11,10593.42,Restaurant,Food
2023-07-04,9329.65,Uber Ride,Transport
2023-09-19,8013.79,Uber Ride,Transport
2023-02-02,48404.44,Grocery Store,Groceries
2023-10-10,11292.8,Credit Card EMI,Loans
2023-09-30,21700.82,Flight Ticket,Travel
2023-07-25,5682.6,Personal Loan EMI,Loans
2023-01-17,27822.69,Monthly Rent Payment,Rent
2023-09-18,45151.5,Grocery Store,Groceries
2023-08-22,14163.98,Movie Tickets,Entertainment
2023-01-18,33957.25,Online Shopping,Shopping
2023-05-29,47674.58,Uber Ride,Transport
2023-09-25,46776.84,Doctor Visit,Health
2023-04-24,17829.26,Car Rental,Travel
2023-10-15,8156.1,Coffee Shop,Food
2023-08-16,43763.38,Hotel Booking,Travel
2023-04-19,32314.51,Car Rental,Travel
2023-08-11,45362.29,Internet Bill,Utilities
2023-06-20,44625.39,Gaming Subscription,Entertainment
2023-03-02,11401.83,Fast Food,Food
2023-06-06,28231.55,Car Loan,Loans
2023-03-24,47178.54,Fuel,Transport
2023-08-29,31017.85,Gaming Subscription,Entertainment
2023-03-19,49772.9,Internet Bill,Utilities
2023-04-21,41310.33,Uber Ride,Transport
2023-12-12,16780.25,Organic Market,Groceries
2023-04-12,46183.94,Grocery Store,Groceries
2023-09-12,26699.48,Online Shopping,Shopping
2023-11-27,23336.04,Credit Card EMI,Loans
2023-09-01,1245.47,Car Rental,Travel
2023-10-07,14827.8,Monthly Rent Payment,Rent
2023-04-14,10778.6,Gaming Subscription,Entertainment
2023-08-25,42205.04,Organic Market,Groceries
2023-02-06,24912.08,Organic Market,Groceries
2023-03-14,14790.41,Coffee Shop,Food
2023-08-28,3855.42,Coffee Shop,Food
2023-01-03,31416.33,Coffee Shop,Food
2023-01-25,6656.65,Fast Food,Food
2023-12-04,21765.93,Concert,Entertainment
2023-02-16,36016.91,Gym Membership,Health
2023-07-28,19808.21,Water Bill,Utilities
2023-03-10,18652.25,Electricity Bill,Utilities
2023-09-14,5567.66,Movie Tickets,Entertainment
2023-04-29,13391.28,Monthly Rent Payment,Rent
2023-01-06,11539.83,Electricity Bill,Utilities
2023-09-25,31880.54,Monthly Rent Payment,Rent
2023-10-18,32678.17,Coffee Shop,Food
2023-08-12,27787.3,Uber Ride,Transport
2023-09-10,14734.65,Car Rental,Travel
2023-09-30,7386.11,Restaurant,Food
2023-03-24,22963.64,Grocery Store,Groceries
2023-07-12,5541.85,Monthly Rent Payment,Rent
2023-09-05,26030.47,Water Bill,Utilities
2023-08-27,21555.04,Electronics,Shopping
2023-09-22,36153.08,Gym Membership,Health
2023-03-16,11477.75,Monthly Rent Payment,Rent
2023-07-09,40375.63,Hotel Booking,Travel
2023-06-05,20791.89,Supermarket,Groceries
2023-12-24,32906.12,Water Bill,Utilities
2023-07-02,44342.17,Online Shopping,Shopping
2023-08-11,17025.56,Organic Market,Groceries
2023-08-28,46369.57,Mall Purchase,Shopping
2023-10-07,6014.39,Doctor Visit,Health
2023-05-19,38119.98,Gaming Subscription,Entertainment
2023-09-28,33105.2,Hotel Booking,Travel
2023-02-07,9062.01,Car Rental,Travel
2023-12-01,16233.59,Supermarket,Groceries
2023-10-23,25129.29,Train Ticket,Transport
2023-07-02,16496.73,Online Shopping,Shopping
2023-02-06,9594.66,Coffee Shop,Food
2023-03-09,26077.25,Electronics,Shopping
2023-02-05,10959.77,Uber Ride,Transport
2023-05-12,43059.52,Electronics,Shopping
2023-10-19,19367.85,Fuel,Transport
2023-01-29,3726.72,Restaurant,Food
2023-01-04,12740.19,Car Loan,Loans
2023-06-20,17854.62,Organic Market,Groceries
2023-05-21,43350.39,Concert,Entertainment
2023-12-07,41655.19,Credit Card EMI,Loans
2023-02-17,22768.14,Grocery Store,Groceries
2023-10-12,49262.77,Electricity Bill,Utilities
2023-02-19,47211.06,Online Shopping,Shopping
2023-01-04,29063.04,Water Bill,Utilities
2023-07-08,19852.19,Uber Ride,Transport
2023-04-01,21030.81,Monthly Rent Payment,Rent
2023-04-06,5360.15,Grocery Store,Groceries
2023-11-01,39051.01,Electronics,Shopping
2023-09-29,33859.96,Gym Membership,Health
2023-09-05,22925.93,Concert,Entertainment
2023-10-31,27973.47,Credit Card EMI,Loans
2023-01-22,9968.69,Mall Purchase,Shopping
2023-11-10,45455.35,Coffee Shop,Food
2023-05-31,20015.65,Movie Tickets,Entertainment
2023-05-02,22488.12,Concert,Entertainment
2023-05-18,24183.16,Fuel,Transport
2023-11-29,39123.84,Uber Ride,Transport
2023-06-12,19946.25,Grocery Store,Groceries
2023-08-09,11128.15,Pharmacy,Health
2023-01-24,39018.79,Personal Loan EMI,Loans
2023-12-20,9279.41,Car Rental,Travel
2023-09-01,30857.52,Fuel,Transport
2023-02-13,34878.42,Doctor Visit,Health
2023-04-13,20932.39,Pharmacy,Health
2023-10-23,17490.8,Car Rental,Travel
2023-08-28,49026.32,Gaming Subscription,Entertainment
2023-10-27,49949.18,Credit Card EMI,Loans
2023-03-04,42444.9,Hotel Booking,Travel
2023-04-15,33983.89,Monthly Rent Payment,Rent
2023-08-27,22804.83,Grocery Store,Groceries
2023-07-26,30250.76,Gaming Subscription,Entertainment
2023-03-18,33549.72,Car Rental,Travel
2023-08-03,10191.34,Online Shopping,Shopping
2023-01-18,24776.42,Gaming Subscription,Entertainment
2023-07-12,2161.7,Internet Bill,Utilities
2023-05-07,32883.78,Gaming Subscription,Entertainment
2023-02-16,48410.3,Concert,Entertainment
2023-05-25,42609.91,Electronics,Shopping
2023-02-01,36633.18,Monthly Rent Payment,Rent
2023-06-27,10426.74,Fast Food,Food
2023-07-27,12345.01,Doctor Visit,Health
2023-12-25,18364.73,Gym Membership,Health
2023-11-03,34690.57,Gaming Subscription,Entertainment
2023-07-25,2193.67,Electricity Bill,Utilities
2023-12-28,3846.69,Grocery Store,Groceries
2023-10-01,31365.05,Car Loan,Loans
2023-05-05,46499.04,Personal Loan EMI,Loans
2023-03-06,37756.91,Personal Loan EMI,Loans
2023-07-23,28260.31,Gym Membership,Health
2023-02-12,15444.3,Uber Ride,Transport
2023-12-01,9589.39,Online Shopping,Shopping
2023-01-14,5515.53,Gym Membership,Health
2023-09-30,32523.59,Organic Market,Groceries
2023-08-05,21267.95,Personal Loan EMI,Loans
2023-09-23,3226.15,Monthly Rent Payment,Rent
2023-12-01,9915.3,Monthly Rent Payment,Rent
2023-11-12,34628.75,Flight Ticket,Travel
2023-05-07,23376.89,Pharmacy,Health
2023-03-04,40254.17,Supermarket,Groceries
2023-12-25,31498.68,Pharmacy,Health
2023-04-29,39298.77,Grocery Store,Groceries
2023-05-04,7896.5,Doctor Visit,Health
2023-10-14,36287.78,Monthly Rent Payment,Rent
2023-07-08,35726.71,Electricity Bill,Utilities
2023-05-01,37059.85,Electronics,Shopping
2023-10-12,32223.84,Fast Food,Food
2023-10-24,25149.09,Car Rental,Travel
2023-02-04,857.2,Car Rental,Travel
2023-05-23,37390.21,Online Shopping,Shopping
2023-01-26,12899.78,Coffee Shop,Food
2023-03-09,35038.61,Credit Card EMI,Loans
2023-09-08,7475.73,Monthly Rent Payment,Rent
2023-02-28,35641.38,Monthly Rent Payment,Rent
2023-07-18,43302.21,Monthly Rent Payment,Rent
2023-09-25,42959.48,Personal Loan EMI,Loans
2023-12-13,30270.53,Car Loan,Loans
2023-10-14,23240.51,Uber Ride,Transport
2023-07-31,14708.25,Movie Tickets,Entertainment
2023-11-12,15928.88,Monthly Rent Payment,Rent
2023-01-29,37824.18,Flight Ticket,Travel
2023-10-01,40883.64,Fast Food,Food
2023-08-04,22780.18,Supermarket,Groceries
2023-08-01,43406.7,Monthly Rent Payment,Rent
2023-07-16,7280.77,Car Loan,Loans
2023-05-20,38211.92,Coffee Shop,Food
2023-08-03,19282.94,Gaming Subscription,Entertainment
2023-03-16,47419.7,Concert,Entertainment
2023-10-05,42738.73,Movie Tickets,Entertainment
2023-08-28,15634.63,Monthly Rent Payment,Rent
2023-01-29,4276.96,Uber Ride,Transport
2023-06-13,45562.25,Doctor Visit,Health
2023-12-12,16691.48,Organic Market,Groceries
2023-08-25,25088.52,Fast Food,Food
2023-04-29,16927.58,Mall Purchase,Shopping
2023-06-01,27203.99,Restaurant,Food
2023-05-05,37411.53,Doctor Visit,Health
2023-09-19,20303.49,Personal Loan EMI,Loans
2023-01-25,42102.42,Uber Ride,Transport
2023-01-04,5179.12,Mall Purchase,Shopping
2023-10-10,24581.82,Organic Market,Groceries
2023-07-05,41195.07,Grocery Store,Groceries
2023-08-25,17774.16,Train Ticket,Transport
2023-04-23,29039.12,Car Rental,Travel
2023-08-25,3346.09,Personal Loan EMI,Loans
2023-02-17,4730.86,Credit Card EMI,Loans
2023-12-24,1454.22,Flight Ticket,Travel
2023-09-21,21786.76,Monthly Rent Payment,Rent
2023-01-11,20239.56,Car Loan,Loans
2023-04-09,16890.45,Train Ticket,Transport
2023-05-05,12268.14,Uber Ride,Transport
2023-01-08,30062.13,Hotel Booking,Travel
2023-11-19,45314.24,Water Bill,Utilities
2023-10-20,10785.5,Grocery Store,Groceries
2023-12-20,3022.19,Train Ticket,Transport
2023-04-08,25255.96,Gaming Subscription,Entertainment
2023-11-27,40229.45,Pharmacy,Health
2023-08-06,28635.7,Gym Membership,Health
2023-11-14,40214.39,Pharmacy,Health
2023-01-01,23969.64,Electricity Bill,Utilities
2023-03-08,12007.74,Uber Ride,Transport
2023-01-30,46892.76,Train Ticket,Transport
2023-02-06,41530.89,Personal Loan EMI,Loans
2023-10-07,47338.61,Credit Card EMI,Loans
2023-09-23,19301.19,Concert,Entertainment
2023-03-13,34887.2,Monthly Rent Payment,Rent
2023-03-13,45983.72,Monthly Rent Payment,Rent
2023-03-25,23573.13,Supermarket,Groceries
2023-03-19,26808.93,Train Ticket,Transport
2023-12-08,12627.52,Electronics,Shopping
2023-04-02,37651.53,Pharmacy,Health
2023-01-04,3380.49,Monthly Rent Payment,Rent
2023-03-03,45059.59,Monthly Rent Payment,Rent
2023-11-05,38640.88,Pharmacy,Health
2023-03-25,39961.39,Online Shopping,Shopping
2023-03-11,49568.57,Monthly Rent Payment,Rent
2023-05-29,6758.56,Car Loan,Loans
2023-03-29,31277.79,Coffee Shop,Food
2023-07-01,46233.55,Car Loan,Loans
2023-10-05,828.11,Fast Food,Food
2023-06-19,22761.06,Electronics,Shopping
2023-04-26,36758.91,Internet Bill,Utilities
2023-12-25,26808.23,Personal Loan EMI,Loans
2023-01-30,19469.51,Uber Ride,Transport
2023-09-06,4245.0,Monthly Rent Payment,Rent
2023-03-18,35605.97,Internet Bill,Utilities
2023-07-31,16085.3,Electricity Bill,Utilities
2023-02-23,32673.39,Gym Membership,Health
2023-12-09,17894.94,Internet Bill,Utilities
2023-08-01,28813.71,Mall Purchase,Shopping
2023-07-15,35517.97,Water Bill,Utilities
2023-08-06,10518.78,Fuel,Transport
2023-04-23,32091.24,Car Rental,Travel
2023-09-13,6048.37,Car Loan,Loans
2023-11-06,15593.88,Gaming Subscription,Entertainment
2023-04-06,34731.78,Train Ticket,Transport
2023-09-12,15952.65,Electricity Bill,Utilities
2023-02-05,31256.19,Supermarket,Groceries
2023-02-24,38850.91,Coffee Shop,Food
2023-11-23,20044.04,Uber Ride,Transport
2023-04-13,27378.57,Internet Bill,Utilities
2023-07-07,7458.75,Monthly Rent Payment,Rent
2023-06-05,26669.3,Movie Tickets,Entertainment
2023-10-06,13053.5,Online Shopping,Shopping
2023-11-11,5608.07,Water Bill,Utilities
2023-11-23,8072.34,Restaurant,Food
2023-09-11,27096.27,Grocery Store,Groceries
2023-06-09,30314.7,Doctor Visit,Health
2023-11-29,9859.75,Fast Food,Food
2023-12-15,44913.32,Electricity Bill,Utilities
2023-12-03,21091.53,Fuel,Transport
2023-05-29,1226.85,Grocery Store,Groceries
2023-01-01,7319.3,Personal Loan EMI,Loans
2023-04-11,43889.25,Gym Membership,Health
2023-07-06,48490.97,Movie Tickets,Entertainment
2023-10-30,49998.66,Monthly Rent Payment,Rent
2023-01-14,44513.45,Doctor Visit,Health
2023-01-17,40664.18,Restaurant,Food
2023-10-29,16300.17,Electronics,Shopping
2023-04-02,31250.68,Organic Market,Groceries
2023-07-11,44735.5,Pharmacy,Health
2023-12-06,40670.68,Internet Bill,Utilities
2023-11-05,32360.12,Movie Tickets,Entertainment
2023-06-28,22432.64,Train Ticket,Transport
2023-03-02,49785.84,Car Loan,Loans
2023-06-21,10244.0,Car Loan,Loans
2023-06-04,21647.09,Flight Ticket,Travel
2023-07-11,42791.48,Personal Loan EMI,Loans
2023-03-05,49825.05,Monthly Rent Payment,Rent
2023-03-18,14744.9,Electricity Bill,Utilities
2023-11-05,39262.69,Monthly Rent Payment,Rent
2023-03-09,48447.91,Train Ticket,Transport
2023-12-18,44438.46,Organic Market,Groceries
2023-02-26,30006.07,Credit Card EMI,Loans
2023-08-01,44315.66,Online Shopping,Shopping
2023-03-27,35533.54,Organic Market,Groceries
2023-07-15,47932.55,Organic Market,Groceries
2023-10-29,11639.4,Uber Ride,Transport
2023-03-06,10194.47,Gym Membership,Health
2023-04-16,23205.92,Uber Ride,Transport
2023-08-06,48871.67,Uber Ride,Transport
2023-10-19,18356.36,Grocery Store,Groceries
2023-01-16,30755.17,Electronics,Shopping
2023-08-09,4714.2,Organic Market,Groceries
2023-01-08,2906.11,Credit Card EMI,Loans
2023-06-10,11209.12,Mall Purchase,Shopping
2023-04-15,4635.53,Internet Bill,Utilities
2023-11-27,11401.48,Supermarket,Groceries
2023-09-16,37163.31,Electronics,Shopping
2023-04-02,20403.62,Movie Tickets,Entertainment
2023-04-30,46774.38,Concert,Entertainment
2023-08-08,29508.7,Movie Tickets,Entertainment
2023-12-05,17422.28,Electronics,Shopping
2023-10-26,36272.16,Car Rental,Travel
2023-01-14,23841.65,Monthly Rent Payment,Rent
2023-03-28,35671.66,Supermarket,Groceries
2023-04-21,32328.1,Monthly Rent Payment,Rent
2023-03-29,1709.15,Train Ticket,Transport
2023-03-18,42336.43,Car Loan,Loans
2023-03-27,31359.92,Grocery Store,Groceries
2023-07-14,25940.03,Water Bill,Utilities
2023-06-18,20840.8,Train Ticket,Transport
2023-01-31,45806.73,Pharmacy,Health
2023-10-23,10393.12,Credit Card EMI,Loans
2023-12-11,6587.22,Supermarket,Groceries
2023-11-25,36275.82,Organic Market,Groceries
2023-01-09,14208.52,Car Loan,Loans
2023-12-16,19080.83,Coffee Shop,Food
2023-09-10,38193.56,Mall Purchase,Shopping
2023-09-26,31573.07,Restaurant,Food
2023-07-06,40127.18,Gaming Subscription,Entertainment
2023-02-16,4819.93,Monthly Rent Payment,Rent
2023-05-01,13322.29,Hotel Booking,Travel
2023-09-17,29202.76,Flight Ticket,Travel
2023-03-31,37819.43,Monthly Rent Payment,Rent
2023-09-07,46663.7,Restaurant,Food
2023-12-15,29788.13,Concert,Entertainment
2023-03-26,29439.84,Flight Ticket,Travel
2023-01-29,5999.44,Online Shopping,Shopping
2023-10-13,12770.37,Train Ticket,Transport
2023-09-15,4348.29,Monthly Rent Payment,Rent
2023-03-20,39861.68,Concert,Entertainment
2023-12-28,14915.16,Supermarket,Groceries
2023-01-08,40627.36,Fast Food,Food
2023-07-29,49886.17,Doctor Visit,Health
2023-07-26,6467.83,Monthly Rent Payment,Rent
2023-10-28,46262.24,Monthly Rent Payment,Rent
2023-02-15,25161.34,Monthly Rent Payment,Rent
2023-10-21,3605.61,Coffee Shop,Food
2023-09-04,25352.37,Monthly Rent Payment,Rent
2023-08-19,38687.34,Monthly Rent Payment,Rent
2023-05-08,14977.91,Monthly Rent Payment,Rent
2023-11-10,32272.2,Electricity Bill,Utilities
2023-12-07,30259.48,Electricity Bill,Utilities
2023-01-14,45634.73,Flight Ticket,Travel
2023-08-08,45468.54,Restaurant,Food
2023-07-15,32796.52,Supermarket,Groceries
2023-09-02,40708.3,Organic Market,Groceries
2023-09-21,11606.16,Monthly Rent Payment,Rent
2023-10-29,26365.42,Credit Card EMI,Loans
2023-09-25,44251.04,Restaurant,Food
2023-02-04,11696.69,Grocery Store,Groceries
2023-02-22,13581.17,Car Loan,Loans
2023-04-29,33524.83,Monthly Rent Payment,Rent
2023-07-09,48851.31,Gaming Subscription,Entertainment
2023-11-21,1418.76,Monthly Rent Payment,Rent
2023-09-28,44639.25,Fuel,Transport
2023-06-15,39676.48,Credit Card EMI,Loans
2023-09-28,8683.85,Water Bill,Utilities
2023-08-03,30432.19,Gaming Subscription,Entertainment
2023-08-28,11195.18,Monthly Rent Payment,Rent
2023-06-26,36229.98,Monthly Rent Payment,Rent
2023-05-27,18887.31,Flight Ticket,Travel
2023-01-05,47686.15,Mall Purchase,Shopping
2023-10-28,4306.76,Coffee Shop,Food
2023-08-06,32298.87,Car Loan,Loans
2023-12-09,13484.37,Coffee Shop,Food
2023-05-29,44177.33,Movie Tickets,Entertainment
2023-07-17,43328.45,Organic Market,Groceries
2023-10-19,20419.14,Hotel Booking,Travel
2023-02-25,23317.05,Monthly Rent Payment,Rent
2023-09-06,42658.69,Train Ticket,Transport
2023-03-23,18463.52,Pharmacy,Health
2023-04-20,49849.15,Internet Bill,Utilities
2023-07-15,14607.92,Concert,Entertainment
2023-12-20,17792.7,Fast Food,Food
2023-03-28,35250.69,Organic Market,Groceries
2023-05-29,43038.46,Concert,Entertainment
2023-01-02,38897.72,Fast Food,Food
2023-09-30,39862.13,Monthly Rent Payment,Rent
2023-08-18,7386.05,Electricity Bill,Utilities
2023-12-06,22095.33,Gym Membership,Health
2023-11-08,16868.09,Supermarket,Groceries
2023-02-23,30318.96,Train Ticket,Transport
2023-11-29,6469.86,Internet Bill,Utilities
2023-11-23,31293.44,Flight Ticket,Travel
2023-09-23,29072.63,Train Ticket,Transport
2023-01-25,42939.81,Credit Card EMI,Loans
2023-09-22,37126.23,Electricity Bill,Utilities
2023-04-24,38176.39,Hotel Booking,Travel
2023-07-11,24864.51,Gym Membership,Health
2023-05-19,3065.95,Water Bill,Utilities
2023-01-08,48442.93,Fast Food,Food
2023-11-17,46198.43,Organic Market,Groceries
2023-12-06,2027.6,Restaurant,Food
2023-09-15,13961.29,Credit Card EMI,Loans
2023-10-15,8724.9,Pharmacy,Health
2023-08-05,1240.64,Monthly Rent Payment,Rent
2023-07-05,31008.98,Supermarket,Groceries
2023-07-28,34837.75,Monthly Rent Payment,Rent
2023-02-13,20136.46,Doctor Visit,Health
2023-12-09,2416.68,Restaurant,Food
2023-06-26,45154.48,Monthly Rent Payment,Rent
2023-10-28,42043.88,Monthly Rent Payment,Rent
2023-07-18,48668.39,Personal Loan EMI,Loans
2023-10-22,35774.28,Uber Ride,Transport
2023-02-20,43728.97,Concert,Entertainment
2023-12-11,23094.67,Electricity Bill,Utilities
2023-12-10,48748.53,Monthly Rent Payment,Rent
2023-04-30,34797.25,Uber Ride,Transport
2023-05-14,35120.07,Credit Card EMI,Loans
2023-10-22,21535.85,Organic Market,Groceries
2023-02-10,36079.37,Organic Market,Groceries
2023-08-31,30102.78,Flight Ticket,Travel
2023-04-10,38341.74,Monthly Rent Payment,Rent
2023-04-26,1449.2,Mall Purchase,Shopping
2023-10-04,37021.21,Monthly Rent Payment,Rent
2023-10-26,13126.01,Movie Tickets,Entertainment
2023-01-04,27316.23,Monthly Rent Payment,Rent
2023-12-16,13761.94,Monthly Rent Payment,Rent
2023-07-05,16252.66,Organic Market,Groceries
2023-11-23,25501.92,Flight Ticket,Travel
2023-05-18,43999.99,Internet Bill,Utilities
2023-09-01,32573.36,Organic Market,Groceries
2023-10-11,13238.88,Pharmacy,Health
2023-08-31,41570.15,Internet Bill,Utilities
2023-07-03,14693.36,Fuel,Transport
2023-05-20,27876.86,Movie Tickets,Entertainment
2023-03-27,13840.88,Pharmacy,Health
2023-03-10,29103.71,Concert,Entertainment
2023-08-03,49387.98,Water Bill,Utilities
2023-09-06,19875.23,Concert,Entertainment
2023-04-30,47231.49,Fast Food,Food
2023-11-19,48425.31,Water Bill,Utilities
2023-07-26,8795.21,Car Rental,Travel
2023-11-18,41595.31,Movie Tickets,Entertainment
2023-08-26,32544.65,Car Loan,Loans
2023-02-23,38351.5,Coffee Shop,Food
2023-10-20,27811.04,Restaurant,Food
2023-09-10,38013.29,Gym Membership,Health
2023-08-20,13064.02,Monthly Rent Payment,Rent
2023-10-31,8524.81,Flight Ticket,Travel
2023-08-10,12275.55,Hotel Booking,Travel
2023-08-11,46843.93,Water Bill,Utilities
2023-08-11,28471.48,Electricity Bill,Utilities
2023-12-02,35242.58,Coffee Shop,Food
2023-04-23,47673.95,Electronics,Shopping
2023-04-20,44398.14,Uber Ride,Transport
2023-01-01,10372.09,Uber Ride,Transport
2023-01-20,27879.5,Fast Food,Food
2023-02-04,37186.33,Uber Ride,Transport
2023-08-17,24371.16,Monthly Rent Payment,Rent
2023-05-16,32241.09,Pharmacy,Health
2023-11-06,1231.65,Electricity Bill,Utilities
2023-01-09,29618.89,Electricity Bill,Utilities
2023-11-26,45115.17,Train Ticket,Transport
2023-12-23,13001.13,Hotel Booking,Travel
2023-09-08,27719.42,Online Shopping,Shopping
2023-03-13,39070.0,Concert,Entertainment
2023-07-03,46454.45,Monthly Rent Payment,Rent
2023-11-22,28296.3,Monthly Rent Payment,Rent
2023-11-09,3898.58,Gaming Subscription,Entertainment
2023-10-10,23434.75,Fuel,Transport
2023-01-01,27563.75,Credit Card EMI,Loans
2023-07-09,7182.4,Mall Purchase,Shopping
2023-01-26,46973.5,Train Ticket,Transport
2023-03-28,5013.67,Water Bill,Utilities
2023-08-23,38547.35,Movie Tickets,Entertainment
2023-06-10,38191.27,Water Bill,Utilities
2023-06-03,23835.69,Monthly Rent Payment,Rent
2023-07-14,33126.26,Pharmacy,Health
2023-01-07,8938.65,Car Rental,Travel
2023-12-21,32152.67,Movie Tickets,Entertainment
2023-08-01,28346.61,Monthly Rent Payment,Rent
2023-02-01,14053.11,Restaurant,Food
2023-03-01,4817.86,Supermarket,Groceries
2023-07-11,16578.03,Movie Tickets,Entertainment
2023-05-08,35117.73,Organic Market,Groceries
2023-01-01,49417.99,Monthly Rent Payment,Rent
2023-08-29,17420.75,Credit Card EMI,Loans
2023-07-04,11433.3,Electricity Bill,Utilities
2023-09-14,30035.37,Car Loan,Loans
2023-11-12,34438.24,Personal Loan EMI,Loans
2023-11-20,29053.92,Organic Market,Groceries
2023-06-10,22814.83,Pharmacy,Health
2023-02-18,32122.25,Mall Purchase,Shopping
2023-09-30,6098.13,Electricity Bill,Utilities
